,Timestamp,ApparentTemperature,AirTemperature,DewPointTemperature,RelativeHumidity,WindSpeed,WindDirection,SolarGeneration
316,1/4/2020 7:15,19.81333333,22.40666667,6.046666667,34.66666667,8.68,239.6666667,1.997
317,1/4/2020 7:30,20.39333333,24.0,6.373333333,32.2,14.24,257.6,2.799
318,1/4/2020 7:45,20.81333333,25.16,7.7,32.86666667,19.62,259.4,3.66
319,1/4/2020 8:00,21.37333333,25.43333333,8.7,34.66666667,19.5,262.5333333,4.659
320,1/4/2020 8:15,21.56666667,25.58666667,9.6,36.53333333,20.38,259.3333333,5.736
321,1/4/2020 8:30,21.87333333,25.79333333,9.94,36.86666667,20.18,251.7333333,6.801
322,1/4/2020 8:45,22.62,26.12666667,10.32,37.0,18.66,255.6666667,8.031
323,1/4/2020 9:00,22.82,26.24,10.58666667,37.4,18.3,251.2,9.181
324,1/4/2020 9:15,24.01333333,26.48666667,11.98,40.53333333,15.92,241.4666667,10.465
325,1/4/2020 9:30,24.66,26.62,12.73333333,42.2,14.44,229.6666667,11.583
326,1/4/2020 9:45,25.17333333,26.94666667,13.15333333,42.53333333,14.1,213.9333333,12.606
327,1/4/2020 10:00,24.60666667,26.91333333,13.42666667,43.46666667,17.4,238.0666667,13.62
328,1/4/2020 10:15,25.16,26.99333333,13.56,43.6,15.16,230.8,14.579
329,1/4/2020 10:30,25.80666667,27.22666667,13.62,43.2,13.0,218.5333333,15.417
330,1/4/2020 10:45,26.14,27.46,13.71333333,42.86666667,12.78,212.0666667,16.107
331,1/4/2020 11:00,25.62666667,27.60666667,13.74666667,42.6,16.8,213.0666667,16.843
332,1/4/2020 11:15,26.26,27.93333333,13.96666667,42.33333333,15.04,200.6,17.245
333,1/4/2020 11:30,27.07333333,28.26,14.01333333,41.66666667,12.64,201.6,17.638
334,1/4/2020 11:45,25.72666667,28.22,13.94,41.6,19.24,194.9333333,18.057
335,1/4/2020 12:00,24.55333333,27.60666667,14.15333333,43.66666667,22.34,204.6666667,17.71
336,1/4/2020 12:15,23.17333333,26.38,14.91333333,49.4,25.19333333,200.2666667,17.71
337,1/4/2020 12:30,21.61333333,24.82,15.71333333,57.0,26.62666667,202.6666667,18.218
338,1/4/2020 12:45,20.18666667,24.01333333,15.90666667,60.53333333,29.7,199.4,17.91
339,1/4/2020 13:00,19.98,23.58,15.44,60.33333333,27.70666667,206.3333333,16.983
340,1/4/2020 13:15,17.24666667,21.8,14.66,64.0,31.1,219.7333333,6.972
341,1/4/2020 13:30,17.21333333,20.46666667,15.15333333,71.53333333,25.46,217.4,7.052
342,1/4/2020 13:45,17.67333333,20.36,15.50666667,73.73333333,23.1,216.0666667,15.505
343,1/4/2020 14:00,16.86666667,19.84,15.55333333,76.33333333,24.56666667,215.1333333,18.376
344,1/4/2020 14:15,16.5,19.39333333,15.42666667,77.66666667,23.94,219.5333333,17.847
345,1/4/2020 14:30,15.37333333,19.04666667,14.93333333,76.93333333,27.15333333,211.0,14.129
346,1/4/2020 14:45,15.70666667,18.94666667,14.59333333,75.73333333,24.20666667,212.1333333,17.03
347,1/4/2020 15:00,15.08666667,18.88,13.95333333,73.0,25.66,207.2666667,11.702
348,1/4/2020 15:15,16.27333333,19.12666667,13.66,70.66666667,20.6,208.9333333,3.961
349,1/4/2020 15:30,17.14,19.36,13.7,69.73333333,17.42,201.2,2.412
350,1/4/2020 15:45,16.68666667,19.75333333,13.12,65.53333333,20.76,199.0,12.524
351,1/4/2020 16:00,15.52666667,19.95333333,12.38666667,61.73333333,26.52,206.1333333,4.597
352,1/4/2020 16:15,14.62,20.04666667,11.05333333,56.2,29.34,209.9333333,6.314
353,1/4/2020 16:30,15.42666667,20.12666667,10.72,54.66666667,24.94,208.4666667,6.512
354,1/4/2020 16:45,14.36666667,19.56666667,10.58,56.06666667,27.78,210.2666667,8.844
355,1/4/2020 17:00,15.36,19.90666667,10.79333333,55.66666667,24.56,207.1333333,11.805
356,1/4/2020 17:15,15.21333333,19.89333333,10.24666667,53.73333333,25.03333333,199.9333333,12.054
357,1/4/2020 17:30,15.29333333,19.87333333,10.12666667,53.4,23.32666667,200.8666667,10.847
358,1/4/2020 17:45,16.12666667,19.93333333,9.653333333,51.46666667,19.22,204.0666667,9.76
359,1/4/2020 18:00,15.36666667,19.6,9.34,51.46666667,20.88,203.4666667,8.626
360,1/4/2020 18:15,15.42,19.38,8.86,50.53333333,19.04,197.6,7.453
361,1/4/2020 18:30,15.25333333,19.18,8.946666667,51.53333333,18.96,204.6666667,6.192
362,1/4/2020 18:45,14.48666667,18.82,9.16,53.46666667,21.28,208.4666667,5.047
363,1/4/2020 19:00,12.98666667,18.28,8.72,53.66666667,26.02666667,207.2666667,3.972
364,1/4/2020 19:15,12.16666667,17.70666667,8.653333333,55.4,26.91333333,203.4666667,3.017
365,1/4/2020 19:30,11.94666667,17.20666667,8.813333333,57.8,25.76,200.5333333,2.142
366,1/4/2020 19:45,12.33333333,16.84666667,8.9,59.4,21.96,202.8666667,1.45
367,1/4/2020 20:00,11.72666667,16.56666667,8.853333333,60.26666667,24.16,202.6666667,0.896
368,1/4/2020 20:15,11.34666667,16.15333333,8.833333333,61.86666667,23.46,205.8,0.346
413,1/5/2020 7:30,10.46666667,13.2,9.573333333,78.6,13.24,217.8666667,0.185
414,1/5/2020 7:45,10.17333333,12.96,10.25333333,83.6,14.92,219.2,0.501
415,1/5/2020 8:00,10.26666667,12.89333333,11.08666667,88.8,15.3,213.8,0.668
416,1/5/2020 8:15,10.76666667,12.8,11.78666667,93.53333333,13.24,212.8,0.785
417,1/5/2020 8:30,10.6,12.69333333,12.17333333,96.73333333,14.44,222.4666667,1.009
418,1/5/2020 8:45,10.66,12.48,12.28,99.0,13.0,217.5333333,1.711
419,1/5/2020 9:00,11.14666667,12.40666667,12.36666667,99.8,10.33333333,200.7333333,2.581
420,1/5/2020 9:15,10.51333333,12.25333333,12.13333333,99.4,12.4,179.4666667,2.179
421,1/5/2020 9:30,10.21333333,11.77333333,11.57333333,99.0,10.45333333,190.8,0.848
422,1/5/2020 9:45,10.58666667,11.7,11.5,99.0,8.266666667,190.0666667,0.73
423,1/5/2020 10:00,10.19333333,11.62666667,11.42666667,99.0,9.88,158.1333333,1.828
424,1/5/2020 10:15,10.10666667,11.57333333,11.37333333,99.0,9.76,155.1333333,1.841
425,1/5/2020 10:30,10.68666667,11.66666667,11.46666667,99.0,7.226666667,143.9333333,2.197
426,1/5/2020 10:45,10.92,11.87333333,11.72666667,99.26666667,7.666666667,132.8,1.121
427,1/5/2020 11:00,10.82,12.02,11.82,99.0,9.16,128.8666667,1.178
428,1/5/2020 11:15,11.17333333,12.21333333,11.96666667,98.6,8.533333333,155.8,0.871
429,1/5/2020 11:30,12.16666667,12.69333333,12.41333333,98.33333333,6.64,182.2,1.762
430,1/5/2020 11:45,11.44666667,13.06666667,12.44666667,96.06666667,12.28,217.8666667,1.563
431,1/5/2020 12:00,10.42,13.01333333,12.22,94.93333333,17.02,234.1333333,1.467
432,1/5/2020 12:15,10.45333333,13.2,12.60666667,96.2,18.38,229.0666667,2.01
433,1/5/2020 12:30,9.96,13.11333333,11.92,92.46666667,19.9,223.1333333,0.979
434,1/5/2020 12:45,10.60666667,13.30666667,11.46666667,88.6,16.16,215.7333333,1.072
435,1/5/2020 13:00,10.74,13.58666667,11.26666667,85.93333333,16.96,217.6,1.698
436,1/5/2020 13:15,11.72666667,14.12,10.7,80.0,13.6,209.9333333,1.848
437,1/5/2020 13:30,11.50666667,14.14,9.9,75.8,13.6,214.2,1.663
438,1/5/2020 13:45,10.67333333,13.90666667,9.306666667,74.0,15.92,212.9333333,0.767
439,1/5/2020 14:00,10.18666667,13.68,9.206666667,74.33333333,17.18,212.9333333,0.957
440,1/5/2020 14:15,11.56666667,14.16666667,9.686666667,74.6,13.24,210.2,1.01
441,1/5/2020 14:30,11.30666667,14.20666667,9.06,71.26666667,14.08,205.6,1.28
442,1/5/2020 14:45,11.54666667,14.28,8.42,67.73333333,12.16,198.0,0.553
443,1/5/2020 15:00,12.58666667,14.63333333,8.853333333,68.2,9.253333333,199.8666667,0.54
444,1/5/2020 15:15,12.54666667,15.16666667,8.8,65.73333333,12.06,204.0,1.0
445,1/5/2020 15:30,12.43333333,15.08666667,8.64,65.26666667,12.04,195.1333333,1.201
446,1/5/2020 15:45,13.10666667,15.34666667,9.0,65.8,10.36,203.7333333,1.599
447,1/5/2020 16:00,12.58666667,15.28666667,8.7,64.73333333,12.52,205.3333333,1.824
448,1/5/2020 16:15,12.57333333,15.37333333,8.566666667,63.86666667,12.76,179.4666667,1.991
449,1/5/2020 16:30,12.73333333,15.42666667,8.733333333,64.33333333,12.16,181.0,1.221
450,1/5/2020 16:45,13.34,15.55333333,9.04,65.0,10.21333333,195.4666667,0.938
451,1/5/2020 17:00,12.74666667,15.52,8.946666667,64.8,13.24,196.9333333,1.589
452,1/5/2020 17:15,12.62,15.46666667,9.126666667,65.8,13.6,203.4,1.525
